*	name	The 2500 most common chinese characters
没	"汉字: 没
拼音: mei2/mo4
英文: (negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate
五笔:im.imc.imcy
F(x):72"	tts_没.mp3		2,0,9,9,12,13,4320,2015-09-28 21:22,2016-10-11 21:22	
动	"汉字: 动
拼音: dong4
英文: to use/to act/to move/to change
五笔:fcl.fcln
F(x):73"	tts_动.mp3		2,0,22,19,8,9,4320,2015-11-04 21:35,2016-11-04 22:35	
面	"汉字: 面
拼音: mian4
英文: fade/side/surface/aspect/top/face/flour/noodles, flour/noodles
五笔:dm.dmjd
F(x):74"	tts_面.mp3		2,0,11,11,12,13,4320,2016-03-14 21:29,2017-01-28 20:29	
起	"汉字: 起
拼音: qi3
英文: to rise/to raise/to get up
五笔:fhn.fhnv
F(x):75"	tts_起.mp3		2,0,13,13,12,13,4320,2016-02-02 20:53,2017-01-10 20:53	
看	"汉字: 看
拼音: kan1/kan4
英文: to look after/to take care of/to watch/to guard, it depends/think/to see/to look at
五笔:rhf
F(x):76"	tts_看.mp3		3,0,0,0,0,0,0,1969-12-31 19:00,1969-12-31 19:00	
定	"汉字: 定
拼音: ding4
英文: to set/to fix/to determine/to decide/to order
五笔:pg.pgh.pghu
F(x):77"	tts_定.mp3		2,0,12,12,12,13,4320,2015-09-16 21:36,2016-09-29 21:36	
天	"汉字: 天
拼音: tian1
英文: day/sky/heaven
五笔:gd.gdi
F(x):78"	tts_天.mp3		3,0,0,0,0,0,0,1969-12-31 19:00,1969-12-31 19:00	
分	"汉字: 分
拼音: fen1/fen4
英文: to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part
五笔:wv.wvb
F(x):79"	tts_分.mp3		2,0,9,9,12,13,4320,2016-04-01 22:03,2017-02-10 21:03	
还	"汉字: 还
拼音: hai2/huan2/huan4
英文: also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return
五笔:gip.gipi
F(x):80"	tts_还.mp3		2,0,13,13,12,13,4320,2016-03-01 21:13,2017-01-19 21:13	
进	"汉字: 进
拼音: jin4
英文: advance/enter/to come in
五笔:fj.fjp.fjpk
F(x):81"	tts_进.mp3		2,0,19,18,8,9,4320,2015-12-19 16:09,2016-12-16 16:09	
